category,question,answer,question_length,answer_length
Account & Login,How do I delete my account?,"Go to 'Account Settings' > 'Privacy' > 'Delete Account', and follow the confirmation steps. Note this action is irreversible.",6,19
Account & Login,"Hello, quick question - how do I delete my account?","Go to 'Account Settings' > 'Privacy' > 'Delete Account', and follow the confirmation steps. Note this action is irreversible.",10,19
Order Tracking,My order shows delivered but I haven't received it.,"Please check with neighbors or your building's reception first. If not found within 24 hours, raise a 'missing package' ticket and our team will investigate with the courier partner.",9,29
Payments & Billing,"Hello, quick question - how do I apply a discount coupon?",Enter the coupon code in the 'Apply Coupon' box at checkout before making payment. Only one coupon can typically be applied per order.,11,23
Account & Login,"Hello, quick question - i forgot my password, how do I reset it?",Click 'Forgot Password' on the login page and follow the OTP verification steps sent to your registered email or mobile number.,13,21
Product Information,"Hi, are the product images accurate?","We strive for accuracy, but slight color variations may occur due to screen settings and studio lighting.",6,17
Returns & Refunds,"Hi, what is your return policy?","Most items can be returned within 7-30 days of delivery, provided they are unused and in original packaging. Certain categories like innerwear and perishables are non-returnable.",6,26
Order Tracking,"Hi, what does 'out for delivery' mean?","It means the package has left the local courier hub and is on the delivery vehicle, typically arriving within the same day.",7,22
Payments & Billing,"Hi, will I get a GST invoice for my purchase?","Yes, a tax invoice is automatically generated and available for download from the order details page.",10,16
Order Tracking,"Hi, can I track multiple orders at once?","Yes, the 'My Orders' section lists all active orders with individual tracking links for each.",8,15
Payments & Billing,"Hello, quick question - will I get a GST invoice for my purchase?","Yes, a tax invoice is automatically generated and available for download from the order details page.",13,16
Returns & Refunds,"Hello, quick question - can I exchange an item instead of returning it?","Yes, exchanges for size or color are available for eligible products within the return window, subject to stock availability.",13,19
Account & Login,"Hi, how do I delete my account?","Go to 'Account Settings' > 'Privacy' > 'Delete Account', and follow the confirmation steps. Note this action is irreversible.",7,19
Payments & Billing,"Hello, quick question - why was my coupon code rejected?","Coupons may be category-specific, have a minimum order value, or already be expired. Check the terms shown on the offer page.",10,21
Product Information,"Hello, quick question - how do I check if this item is in stock in my area?",Enter your delivery pin code on the product page to instantly check availability and estimated delivery date for your location.,17,20
Order Tracking,"Hello, quick question - how can I track my order?","You can track your order by logging into your account and going to 'My Orders', or by using the tracking link sent to your registered email after dispatch.",10,28
Returns & Refunds,"Hi, when will I get my refund?",Refunds are processed within 5-7 business days after the returned item passes quality inspection at our warehouse.,7,17
Order Tracking,"Hi, how do I know when my order has shipped?",You will receive an email and SMS notification with the tracking ID as soon as your order is shipped from the warehouse.,10,22
Shipping & Delivery,"Hello, quick question - can I change my delivery address after ordering?",Address changes are possible only before the order is shipped. Contact support immediately or edit it from the order page if the option is available.,12,25
Returns & Refunds,"Hello, quick question - how do I initiate a return?","Go to 'My Orders', select the item, and click 'Return or Replace'. Choose a reason and schedule a pickup or drop-off.",10,21
Payments & Billing,"Hello, quick question - is cash on delivery available?","COD is available for most pin codes, though high-value electronics may have a reduced COD limit or require partial online prepayment.",9,21
Shipping & Delivery,Can I choose a specific delivery time slot?,"Time-slot delivery is available in select cities for an additional fee, selectable during checkout.",8,14
Account & Login,"Hi, how do I update my email address?","Go to 'Account Settings' > 'Profile', and update your email. A verification link will be sent to confirm the change.",8,20
Returns & Refunds,"Hello, quick question - when will I get my refund?",Refunds are processed within 5-7 business days after the returned item passes quality inspection at our warehouse.,10,17
Returns & Refunds,"Hello, quick question - the product I received is damaged, what should I do?",We're sorry for the inconvenience. Please raise a return request within 48 hours of delivery with photos of the damaged item for a free replacement or full refund.,14,28
Shipping & Delivery,"Hello, quick question - can I choose a specific delivery time slot?","Time-slot delivery is available in select cities for an additional fee, selectable during checkout.",12,14
Account & Login,Can I have multiple delivery addresses saved?,"Yes, you can save multiple addresses under 'Manage Addresses' and choose one at checkout.",7,14
Shipping & Delivery,Do you deliver internationally?,"Currently, international shipping is available for select categories and countries, shown at checkout when you enter an international address.",4,19
Account & Login,"Hello, quick question - can I have multiple delivery addresses saved?","Yes, you can save multiple addresses under 'Manage Addresses' and choose one at checkout.",11,14
Order Tracking,Why is my order still showing 'processing'?,Orders usually move from 'processing' to 'shipped' within 24-48 hours. Delays can happen during high-demand sales periods or if an item needs to be sourced from another warehouse.,7,28
Order Tracking,"Hi, my order shows delivered but I haven't received it.","Please check with neighbors or your building's reception first. If not found within 24 hours, raise a 'missing package' ticket and our team will investigate with the courier partner.",10,29
Product Information,How do I know if this product is genuine?,All products sold on our platform are sourced directly from brands or authorized distributors and come with a 100% authenticity guarantee.,9,21
Order Tracking,"My tracking number isn't working, what should I do?","Tracking numbers can take up to 24 hours to activate after dispatch. If it still doesn't work after a day, please contact support with your order ID.",9,27
Product Information,What sizes are available for this item?,Available sizes are listed on the product page. Use the size chart link to find the right fit based on your measurements.,7,22
Shipping & Delivery,"Hello, quick question - what are the delivery charges?","Delivery is free above a minimum order value; below that, a nominal shipping fee is added at checkout, clearly shown before payment.",9,22
Shipping & Delivery,"Hello, quick question - do you deliver internationally?","Currently, international shipping is available for select categories and countries, shown at checkout when you enter an international address.",8,19
Product Information,"Hello, quick question - what sizes are available for this item?",Available sizes are listed on the product page. Use the size chart link to find the right fit based on your measurements.,11,22
Shipping & Delivery,"Hi, do you deliver on weekends and holidays?","Yes, most couriers deliver on weekends. Delivery on public holidays depends on local courier operations.",8,15
Payments & Billing,"Hi, is cash on delivery available?","COD is available for most pin codes, though high-value electronics may have a reduced COD limit or require partial online prepayment.",6,21
Product Information,"Hi, what sizes are available for this item?",Available sizes are listed on the product page. Use the size chart link to find the right fit based on your measurements.,8,22
Product Information,"Hi, how do I know if this product is genuine?",All products sold on our platform are sourced directly from brands or authorized distributors and come with a 100% authenticity guarantee.,10,21
Account & Login,"Hello, quick question - is my personal data secure?","Yes, we use industry-standard encryption and never share your personal data with third parties without consent.",9,16
Payments & Billing,Will I get a GST invoice for my purchase?,"Yes, a tax invoice is automatically generated and available for download from the order details page.",9,16
Returns & Refunds,"Hi, can I exchange an item instead of returning it?","Yes, exchanges for size or color are available for eligible products within the return window, subject to stock availability.",10,19
Payments & Billing,"Hello, quick question - my payment failed but the amount was deducted.","Failed transactions are usually auto-reversed within 5-7 business days. If not reversed, please share the transaction ID with support for manual verification.",12,22
Shipping & Delivery,"Hi, what happens if I'm not home during delivery?",The courier will attempt delivery up to 3 times. You can also reschedule or opt for delivery to a nearby pickup point.,9,22
Payments & Billing,What payment methods do you accept?,"We accept credit/debit cards, net banking, UPI, popular wallets, and cash on delivery for eligible pin codes.",6,17
Product Information,"Hi, how do I check if this item is in stock in my area?",Enter your delivery pin code on the product page to instantly check availability and estimated delivery date for your location.,14,20
Order Tracking,"Hello, quick question - what does 'out for delivery' mean?","It means the package has left the local courier hub and is on the delivery vehicle, typically arriving within the same day.",10,22
Shipping & Delivery,"Hi, what are the delivery charges?","Delivery is free above a minimum order value; below that, a nominal shipping fee is added at checkout, clearly shown before payment.",6,22
